"categoryQuestion_or","answer"
"PPI ୱାଲେଟ୍ / ୱାଲେଟ୍ ପ୍ରଦାନକାରୀ କିଏ?","[""<p>ପିପିଆଇ ୱାଲେଟ୍ ପ୍ରଦାନକାରୀ ହେଉଛନ୍ତି ଭାରତର କମ୍ପାନୀ ଯେଉଁମାନେ ଆରବିଆଇ ଦ୍ୱାରା ଅନୁମୋଦିତ |</p>""]"
"ପ୍ରସ୍ତୁତ କ୍ରୟ ପାଇଁ ମୁଁ ଏକ ମୁଦ୍ରିତ ରସିଦ ପାଇଁ ଅନୁରୋଧ କରିପାରିବି କି?","[""<p>ନା, ତୁମର ମୁଦ୍ରିତ ରସିଦ ଦରକାର ନାହିଁ | କାରବାରର ବିବରଣୀ ଆପଣଙ୍କ ବ୍ୟାଙ୍କ ସହିତ ରକ୍ଷଣାବେକ୍ଷଣ କରାଯିବ ଏବଂ ଏକ ବିବୃତ୍ତିରେ ପ୍ରଦାନ କରାଯିବ | ଦେୟର ସଫଳତା ବିଷୟରେ ତୁମ ମୋବାଇଲ୍ ଆପରେ ଏକ ବିଜ୍ଞପ୍ତି ମଧ୍ୟ ପାଇବ |</p>""]"
"ମୋର ଆଧାର ନମ୍ବର ସହିତ ସମାନ ବ୍ୟାଙ୍କ ସହିତ ମୋର ଏକାଧିକ ଆକାଉଣ୍ଟ ଅଛି | ମୁଁ କିପରି ଆକାଉଣ୍ଟ୍ ନମ୍ବର ନିର୍ଦ୍ଦିଷ୍ଟ କରିପାରିବି ଯେଉଁଠାରୁ କାରବାର କରିବା ଆବଶ୍ୟକ?","[""<p>ଆଧାର ଆଧାରିତ ଦେୟ ସେବା କେବଳ ଆଧାର ସହିତ ଜଡିତ ପ୍ରାଥମିକ ଆକାଉଣ୍ଟ ସହିତ କାମ କରିବ | ପ୍ରାଥମିକ ଆକାଉଣ୍ଟ୍ ଲିଙ୍କ୍ ପରିବର୍ତ୍ତନ କରିବାକୁ ଆପଣଙ୍କୁ ସେମାନଙ୍କ ବ୍ୟାଙ୍କ ସହିତ ଯୋଗାଯୋଗ କରିବାକୁ ପଡିବ | |</p>""]"
"ଅଟଳ ପେନ୍ସନ୍ ଯୋଜନା ପାଇଁ କିଏ ଆବେଦନ କରିପାରିବେ?","[""<p>ସମସ୍ତ ଭାରତୀୟ ନାଗରିକ ଏହି ଯୋଜନାରେ ବିନିଯୋଗ କରିବାକୁ ଯୋଗ୍ୟ ଅଟନ୍ତି। ଯଦିଓ, ଅଟଳ ପେନ୍ସନ୍ ଯୋଜନାରେ ବୟସ ସୀମା 18 ବର୍ଷରୁ 40 ବର୍ଷ ମଧ୍ୟରେ | ଏକ ବ୍ୟାଙ୍କ କିମ୍ବା ଏକ ଡାକଘର ଆକାଉଣ୍ଟ ସହିତ ଆକାଉଣ୍ଟ୍। <br> ଆପଣଙ୍କର ଏକ ବିଦ୍ୟମାନ APY ଆକାଉଣ୍ଟ୍ ରହିବା ଉଚିତ୍ ନୁହେଁ | ଅଟଳ ପେନ୍ସନ୍ ଯୋଜନା ପାଇଁ ଏକ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଡକ୍ୟୁମେଣ୍ଟ୍ | ଯଦି ଆପଣଙ୍କର ଆଧାର କାର୍ଡ ନାହିଁ ତେବେ ବ୍ୟାଙ୍କ ଅଧିକାରୀ ମଧ୍ୟ ଆପଣଙ୍କର ଆବେଦନକୁ ଗ୍ରହଣ କରିପାରନ୍ତି ନାହିଁ। ଅଟଳ ପେନ୍ସନ୍ ଯୋଜନା ଯୋଜନା ପାଇଁ ଆପଣଙ୍କର ଆଧାରକୁ ଆପଣଙ୍କର ପେନ୍ସନ୍ ଆକାଉଣ୍ଟ୍ ସହିତ ଲିଙ୍କ୍ କରିବା ପାଇଁ ଆପଣଙ୍କୁ ବ୍ୟାଙ୍କକୁ ଅନୁମତି ଦେବାକୁ ପଡିବ।</p>""]"
"ମୁଁ ଏକ ବୈଶିଷ୍ଟ୍ୟ ଫୋନରେ ପୁରୁଣା UPI କୁ କିପରି ବ୍ୟବହାର କରିବି?","[""<p>ଯଦି ଆପଣ ପୂର୍ବରୁ UPI ବ୍ୟବହାର କରୁଛନ୍ତି, ତେବେ ଆପଣଙ୍କୁ ନିଜକୁ ଏକ ସମୟ ପ୍ରକ୍ରିୟା ଭାବରେ ପଞ୍ଜିକରଣ କରିବାକୁ ପଡିବ ଏବଂ ଦେୟ ପାଇଁ ସମାନ UPI ପିନ୍ ବ୍ୟବହାର କରିପାରିବେ |</p>""]"
"ମୁଁ କିପରି ମୋର RuPay କ୍ରେଡିଟ୍ କାର୍ଡକୁ UPI ରେ ଲିଙ୍କ୍ କରିପାରିବି?","[""<p>ଗୁଗୁଲ୍ ପ୍ଲେଷ୍ଟୋରରୁ ଦୟାକରି BHIM ଆପ୍ ଡାଉନଲୋଡ୍ କରନ୍ତୁ | ପଞ୍ଜୀକରଣ ଯାତ୍ରା ସମାପ୍ତ କରନ୍ତୁ, ଏକ ବିକଳ୍ପ ଭାବରେ କ୍ରେଡିଟ୍ କାର୍ଡ ଚୟନ କରନ୍ତୁ | ଡ୍ରପ୍ ଡାଉନ୍ ରୁ ଆପଣଙ୍କର ପ୍ରଦାନକାରୀ ବ୍ୟାଙ୍କ ନାମ ଚୟନ କରନ୍ତୁ | ଆପଣଙ୍କ ପ୍ରଦାନକାରୀ ବ୍ୟାଙ୍କ ସହିତ ମୋବାଇଲ୍ ନମ୍ବର ଅପଡେଟ୍ ଆଧାର, ମାସ୍କେଡ୍ କ୍ରେଡିଟ୍ କାର୍ଡ ସ୍କ୍ରିନରେ ଦେଖାଯିବ | ଆପଣ ଲିଙ୍କ୍ ଏବଂ ନିଶ୍ଚିତ କରିବାକୁ ଚାହୁଁଥିବା କାର୍ଡ ଚୟନ କରନ୍ତୁ | UPI PIN ସୃଷ୍ଟି କରିବାକୁ ଅଗ୍ରଗତି କରନ୍ତୁ |</p>""]"
"କିପ୍ୟାଡ୍ ମୋବାଇଲ୍ ସହିତ କିପରି କାରବାର କରିବେ |","[""<p>ଫିଚର୍ ଫୋନ୍ ଦେୟଗୁଡିକ ପାଇଁ ବର୍ତ୍ତମାନ ସମାଧାନଗୁଡିକ ନିମ୍ନଲିଖିତ <ol> <li> 1) ପୂର୍ବ ନିର୍ଦ୍ଧାରିତ IVR ନମ୍ବର ମାଧ୍ୟମରେ UPI ଦେୟ ବ୍ୟବହାରକାରୀ ପୂର୍ବ ନିର୍ଦ୍ଧାରିତ ନମ୍ବରକୁ କଲ୍ କରିପାରିବେ ଏବଂ କାର୍ଡ ନମ୍ବର, UPI PIN ପ୍ରଦାନ କରି ଦେୟ କରିପାରିବେ | </li> <li> <br> 2) ମିସ୍ ହୋଇଥିବା କଲ୍ ଆଧାରିତ ଉପଭୋକ୍ତା ଏହି ନମ୍ବରକୁ କଲ୍ କରିବେ ଏବଂ ମିସ୍ କଲ୍ ପେରୁ ଏକ କଲ ପାଇବେ ଯାହା ସେମାନଙ୍କୁ ପେମେଣ୍ଟରେ ମାର୍ଗଦର୍ଶନ କରିବ | </ li> <li> <br> 3) ପ୍ରକ୍ସିମିଟି ସାଉଣ୍ଡ ଆଧାରିତ ଟେକ୍ନୋଲୋଜି ଏବଂ ଭଏସ୍ ଆଧାରିତ ଦେୟ ଉପଭୋକ୍ତା ପୂର୍ବ ନିର୍ଦ୍ଧାରିତ ନମ୍ବରକୁ କଲ କରିପାରିବେ ଏବଂ କାର୍ଡ ନମ୍ବର, UPI PIN ପ୍ରଦାନ କରି ପେମେଣ୍ଟ କରିପାରିବେ | </ li> <li> ଆଧାରିତ ଆପ୍। </ li> </ li></p>""]"
"ଇଲେକ୍ଟ୍ରୋନିକ୍ କାର୍ଡଗୁଡ଼ିକ କ’ଣ?","[""<p>ଇଲେକ୍ଟ୍ରୋନିକ୍ କାର୍ଡଗୁଡିକ ନିର୍ଦ୍ଦିଷ୍ଟ ଓଭରଡ୍ରାଫ୍ଟ ଆକାଉଣ୍ଟରେ ଦିଆଯାଇଥିବା ଡେବିଟ୍ କାର୍ଡ ଭାବରେ ବିବେଚନା କରାଯାଇପାରେ ଯାହା କ specific ଣସି ନିର୍ଦ୍ଦିଷ୍ଟ ଶେଷ ବ୍ୟବହାର ପ୍ରତିବନ୍ଧକ ବିନା ବ୍ୟକ୍ତିଗତ ଋଣ ର ପ୍ରକୃତି ଅଟେ | ଓଭରଡ୍ରାଫ୍ଟ ଆକାଉଣ୍ଟ ଥିବା ପ୍ରାକୃତିକ ବ୍ୟକ୍ତିବିଶେଷଙ୍କୁ ଇଲେକ୍ଟ୍ରୋନିକ୍ କାର୍ଡ ପ୍ରଦାନ କରିବାକୁ ବ୍ୟାଙ୍କଗୁଡିକୁ ଅନୁମତି ଦିଆଯାଇଛି ଯାହା ଦ୍ such ାରା ଏହିପରି ଆକାଉଣ୍ଟରେ ଘରୋଇ ଡିଜିଟାଲ୍ କାରବାର ସକ୍ଷମ ହେବ। ସୁରକ୍ଷା, ଅତିରିକ୍ତ ଫ୍ୟାକ୍ଟର୍ ଅଫ୍ ପ୍ରାମାଣିକିକରଣ (AFA), ମର୍ଚାଣ୍ଟ ରିହାତି ମୂଲ୍ୟ (MDR) ଇତ୍ୟାଦି ସମସ୍ତ ଉଦ୍ଦେଶ୍ୟ ପାଇଁ, ଏହିପରି ଇଲେକ୍ଟ୍ରୋନିକ୍ କାର୍ଡରେ ଡେବିଟ୍ କାର୍ଡ ସମ୍ବନ୍ଧୀୟ ନିର୍ଦ୍ଦେଶ ପ୍ରଯୁଜ୍ୟ |</p>""]"
"BHIM ରେ UPI ID କିପରି ପାଇବେ?","[""<p>BHIM ପାଇଁ <ol style = 'list-style-type none'> ଷ୍ଟେପ୍ 1 ଆପ୍ଲିକେସନ୍ ଖୋଲନ୍ତୁ | ତୁମର ପଞ୍ଜୀକୃତ ମୋବାଇଲ୍ ନମ୍ବର @ ଅପ୍ ର ଢାଞ୍ଚା ରେ ID ଖୋଜ | </li> </ol> |</p>""]"
"ଗ୍ରାହକଙ୍କୁ କାରବାର ପାଇଁ ଆଧାର କାର୍ଡ ବହନ କରିବା ଆବଶ୍ୟକ କି?","[""<p>ଆଧାର କାର୍ଡ ବହନ କରିବା ବାଧ୍ୟତାମୂଳକ ନୁହେଁ କିନ୍ତୁ ସଫଳ କାରବାର କରିବା ପାଇଁ ଆଧାର ନମ୍ବରକୁ ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟ ସହିତ ସଂଯୋଗ କରିବା ଏକ ପୂର୍ବ ସର୍ତ୍ତ।</p>""]"
"ଅଟଳ ପେନ୍ସନ୍ ଯୋଜନା ସରକାରୀ ସହଯୋଗ ପାଇଁ କିଏ ଯୋଗ୍ୟ ନୁହେଁ?","[""<p>ଏହି ଯୋଜନା ଅଧୀନରେ ପ୍ରାର୍ଥୀଙ୍କ ମୋଟ ଅବଦାନ ତୁଳନାରେ ସରକାର 50% ସହଯୋଗ କରନ୍ତି। ଯଦିଓ ସେଠାରେ କିଛି ସାମାଜିକ ସୁରକ୍ଷା ଯୋଜନା ଅଛି ଯେଉଁଥିରେ ନାମଲେଖା ହୋଇଥିବା ବ୍ୟକ୍ତିମାନେ ସମାନ ଭାବରେ ଗ୍ରହଣ କରିପାରିବେ ନାହିଁ | ପାଣ୍ଠି ଏବଂ ବିବିଧ ଯୋଗାଣ ଆଇନ, 1952. </ li> <li> ଜାମ୍ମୁ କାଶ୍ମୀର କର୍ମଚାରୀଙ୍କ ପ୍ରୋଭିଡେଣ୍ଟ ଫଣ୍ଡ ଏବଂ ବିବିଧ ପ୍ରୋଭିଜେସନ୍ ଆକ୍ଟ, 1961. </li></p>""]"
"ମୋର କାରବାର ବିଫଳ ହେଲା, କିନ୍ତୁ ତଥାପି ପରିମାଣ ଓଲଟା ନୁହେଁ କିମ୍ବା ଆକାଉଣ୍ଟ / କାର୍ଡକୁ ଫେରସ୍ତ କରାଯାଇ ନାହିଁ |","[""<p>କାରବାରର ସ୍ଥିତି ଜାଣିବା ପାଇଁ, ତୁମ ବ୍ୟାଙ୍କ / ଅନୁଷ୍ଠାନ ସହିତ ଯୋଗାଯୋଗ କରିବାକୁ ପଡିବ, ସେମାନେ ତୁମକୁ ଏହା ଉପରେ ସାହାଯ୍ୟ କରିବାକୁ ସମର୍ଥ ହେବେ। & nbsp; <br> ମୋତେ ତୁମର ବ୍ୟାଙ୍କ / ଅନୁଷ୍ଠାନର ନାମ ଜଣାଇବାକୁ ଦିଅ |</p>""]"
"ଯଦି ମୋ ମୋବାଇଲ୍ ଅନ୍ୟ ଜଣଙ୍କ ଦ୍ୱାରା ବ୍ୟବହୃତ ହୁଏ, ତେବେ କ security ଣସି ସୁରକ୍ଷା ଉଲ୍ଲଂଘନ ହେବ କି?","[""<p>ଏହାକୁ ସୁରକ୍ଷିତ ଏବଂ ସୁରକ୍ଷିତ କରି କାରବାରର ପ୍ରାମାଣିକରଣ ପାଇଁ U P I ପିନ୍ ଆବଶ୍ୟକ ହେବ | ଚେତାବନୀ: ଆପଣଙ୍କ ଦ୍ୱାରା କିମ୍ବା କୌଣସି ଅଜ୍ଞାତ ବ୍ୟକ୍ତି କିମ୍ବା ଫୋନ୍ ନମ୍ବର ଦ୍ୱାରା ନିର୍ଦ୍ଦେଶିତ କଲ୍ ଉପରେ ଆପଣଙ୍କର PIN ପରିବର୍ତ୍ତନ କରନ୍ତୁ ନାହିଁ |</p>""]"
"","[""<p>ତୁମର ପ୍ରଶ୍ନକୁ ଅପେକ୍ଷା</p>""]"
"ଦେୟ ପାଇଁ BHIM ଆପରେ QR କୋଡ୍ ସ୍କାନ କରିବାବେଳେ ମୁଁ ଏକ 'ଅବୈଧ QR' ତ୍ରୁଟି ସନ୍ଦେଶର ସାମ୍ନା କରୁଛି, ଯେତେବେଳେ କି ମୁଁ ଅନ୍ୟ UPI ଆପ୍ ମାଧ୍ୟମରେ ଦେୟ ଦେବାକୁ ସକ୍ଷମ ଅଟେ | ମୁଁ କ’ଣ କରିବି?","[""<p>ଦେୟ ପାଇଁ BHIM ଆପରେ QR କୋଡ୍ ସ୍କାନ କରିବାବେଳେ ଯଦି ଆପଣ ଏକ 'ଅବ val ଧ QR' ତ୍ରୁଟି ବାର୍ତ୍ତା ଗ୍ରହଣ କରୁଛନ୍ତି, ତେବେ ଆପଣ ନିମ୍ନଲିଖିତ ପଦକ୍ଷେପଗୁଡ଼ିକୁ ଚେଷ୍ଟା କରିପାରିବେ <ul style = 'list-style-type none'> <li> ନିଶ୍ଚିତ କରନ୍ତୁ ଯେ ଆପଣ ସ୍କାନ୍ କରୁଛନ୍ତି | ସଠିକ୍ QR କୋଡ୍, ଏବଂ ଏହା ଏକ ବିଶ୍ୱସ୍ତ ବଣିକ କିମ୍ବା ଦେୟ ରସିଦ ଦ୍ୱାରା ଉତ୍ପନ୍ନ | </ li> <li> ଉପଲବ୍ଧ ଥିବା ସର୍ବଶେଷ ସଂସ୍କରଣରେ ଆପଣଙ୍କର BHIM ଆପ୍ ଅପଡେଟ୍ କରନ୍ତୁ, ଯେହେତୁ ନୂତନତମ ଅଦ୍ୟତନରେ ଏହି ସମସ୍ୟାର ସମାଧାନ ହୋଇଥାଇପାରେ | </ li> <li> ଆପଣଙ୍କର BHIM ଆପର କ୍ୟାଚ୍ ଏବଂ ଡାଟା ସଫା କରନ୍ତୁ ଏବଂ ପୁନର୍ବାର QR କୋଡ୍ ସ୍କାନ୍ କରିବାକୁ ଚେଷ୍ଟା କରନ୍ତୁ | </ li> <li> ଯଦି ସମସ୍ୟା ଜାରି ରହେ, ଆପଣ ଦେୟ ପାଇଁ ଅନ୍ୟ UPI ଆପ୍ ବ୍ୟବହାର କରିବାକୁ ଚେଷ୍ଟା କରିପାରିବେ କିମ୍ବା ଆପଣ ଆପରେ କ feedback ଣସି ମତାମତ / ପରାମର୍ଶ / ଅଭିଯୋଗ ରିପୋର୍ଟ କରିପାରିବେ </ li> </ul></p>""]"
"ଏକ PPF ଖାତା ଖୋଲିବାକୁ କେଉଁ ଡକ୍ୟୁମେଣ୍ଟ୍ ଆବଶ୍ୟକ?","[""<p>ଭାରତରେ ଏକ ପିପିଏଫ୍ ଆକାଉଣ୍ଟ ଖୋଲିବା ପାଇଁ ଏଠାରେ ଆବଶ୍ୟକୀୟ ଦଲିଲଗୁଡ଼ିକ | <ul style = 'list-style-type none'> <li> * ଏକ ପରିଚୟ ପ୍ରମାଣ ଯାହା ଏକ ଭୋଟର କାର୍ଡ, ପାନ୍ କାର୍ଡ, କିମ୍ବା ଆଧାର କାର୍ଡ ହୋଇପାରେ </ li> <li> * PPF ସ୍କିମ୍ ଆବେଦନ ଫର୍ମ </ li> < li> * ବାସସ୍ଥାନର ପ୍ରମାଣ </ li> <li> * ବ୍ୟାଙ୍କ ଶାଖା କିମ୍ବା ଡାକଘରେ ଉପଲବ୍ଧ ପେ-ଇନ୍ ସ୍ଲିପ୍ </ li> <li> * ଦସ୍ତଖତ ପ୍ରମାଣ </ li> <li> <li> * ନାମାଙ୍କନ ଫର୍ମ </ li> <li> * ଏକ ଡାକଘରେ ପିପିଏଫ୍ ଆକାଉଣ୍ଟ ପାଇଁ ଆବଶ୍ୟକ ଡକ୍ୟୁମେଣ୍ଟଗୁଡ଼ିକ ଉପରୋକ୍ତ ସମାନ | ତୁମକୁ ଯାହା କରିବାକୁ ପଡିବ ତାହା ହେଉଛି ତୁମେ ପ୍ରଦାନ କରୁଥିବା ଡକ୍ୟୁମେଣ୍ଟଗୁଡ଼ିକର ନକଲଗୁଡ଼ିକୁ ସ୍ୱ-ପ୍ରମାଣ କରିବା | </li> </ul> |</p>""]"
"MTSS ଅଧୀନରେ ହିତାଧିକାରୀଙ୍କୁ ନଗଦ ଦେୟ ପ୍ରଦାନ କରାଯାଇପାରିବ କି?","[""<p>INR 50,000 / - ପର୍ଯ୍ୟନ୍ତ ରାଶି ଭାରତର ଜଣେ ହିତାଧିକାରୀଙ୍କୁ ନଗଦ ଆକାରରେ ପ୍ରଦାନ କରାଯାଇପାରେ | ଏହି ସୀମା ଅତିକ୍ରମ କରୁଥିବା ଯେକୌଣସି ରାଶି ଆକାଉଣ୍ଟ୍ ପେ ଚେକ୍ / ଡିମାଣ୍ଡ ଡ୍ରାଫ୍ଟ / ପେମେଣ୍ଟ ଅର୍ଡର ଇତ୍ୟାଦି ମାଧ୍ୟମରେ ପ୍ରଦାନ କରାଯିବ କିମ୍ବା ହିତାଧିକାରୀଙ୍କ ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟକୁ ସିଧାସଳଖ କ୍ରେଡିଟ୍ କରାଯିବ | ଅବଶ୍ୟ, ବ୍ୟତିକ୍ରମ ପରିସ୍ଥିତିରେ, ଯେଉଁଠାରେ ହିତାଧିକାରୀ ଜଣେ ବିଦେଶୀ ପର୍ଯ୍ୟଟକ, ସେଠାରେ ଅଧିକ ପରିମାଣର ନଗଦ ଅର୍ଥ ପ୍ରଦାନ କରାଯାଇପାରେ |</p>""]"
"* 99 # ବିଷୟରେ ମୁଁ କେଉଁଠାରେ ଅଧିକ ଜାଣିବି?","[""<p>ଆପଣ NPCI ୱେବସାଇଟରେ * 99 # ବିଷୟରେ ଅଧିକ ଜାଣିପାରିବେ | ପରିଦର୍ଶନ କରନ୍ତୁ: <a href ='<a href='https://www.npci.org.in/what-we-do/99/product-overview'' target='_blank'>npci.org.in</a> target='_blank'> <a href='www.npci.org.in' target='_blank'>npci.org.in</a> </a> </ p></p>""]"
"ବିଭିନ୍ନ ପ୍ରକାରର ବୀମା ଉପଲବ୍ଧ କି?","[""<p>ବଜାରରେ ବିଭିନ୍ନ ପ୍ରକାରର ବୀମା ପ୍ରକାର ଉପଲବ୍ଧ ଥିବାବେଳେ, ସେଗୁଡିକୁ ବ୍ୟାପକ ଭାବରେ ଦୁଇଟି ମୁଖ୍ୟ ଶ୍ରେଣୀରେ ବିଭକ୍ତ କରାଯାଇପାରେ | ସାଧାରଣ ବୀମା <br> 2. ଜୀବନ ବୀମା</p>""]"
"UPI ଲାଇଟ୍ ବାଲାନ୍ସକୁ ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟକୁ କିପରି ସ୍ଥାନାନ୍ତର କରିବେ?","[""<p>ଆପଣଙ୍କ ଫୋନରେ ସେଟିଂସମୂହକୁ ଯାଆନ୍ତୁ। <br> ତାପରେ ଆପ୍ସ ଉପରେ ଟ୍ୟାପ୍ କରନ୍ତୁ ଏବଂ ତାପରେ ଆପ୍ସ ପରିଚାଳନା ଉପରେ କ୍ଲିକ୍ କରନ୍ତୁ। ଆପଣଙ୍କ ଫୋନରେ ଆପ୍ ପେମେଣ୍ଟ୍ କରନ୍ତୁ | ବର୍ତ୍ତମାନ ଆପଣ ଗୁଗୁଲ୍ ପେ ଆପ୍ରେ ପୁନଃ ପଞ୍ଜିକରଣ କରିପାରିବେ | ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟ ସହିତ ଲିଙ୍କ୍ ହୋଇଥିବା ଆପଣଙ୍କର ମୋବାଇଲ୍ ନମ୍ବର ପ୍ରବେଶ କରନ୍ତୁ | ଆପଣଙ୍କର ଗୁଗୁଲ୍ ପେ ଆକାଉଣ୍ଟ୍ ସହିତ ସଂଯୁକ୍ତ Gmail ଠିକଣାଗୁଡ଼ିକ ସ୍ୱୟଂଚାଳିତ ଭାବରେ ଦେଖାଯିବ | ବର୍ତ୍ତମାନ ଆପଣ ଇମେଲ୍ id ପରିବର୍ତ୍ତନ କରିପାରିବେ | <br> ସଂପାଦନା ଉପରେ ଟ୍ୟାପ୍ କରନ୍ତୁ ଏବଂ ଇମେଲ୍ ID ପରିବର୍ତ୍ତନ କରନ୍ତୁ | ବର୍ତ୍ତମାନ 'ଗୁଗୁଲ୍ ଆକାଉଣ୍ଟ୍ ପରିବର୍ତ୍ତନ' ଚୟନ କରନ୍ତୁ ଏବଂ ତାପରେ ଆକାଉଣ୍ଟ୍ ଯୋଡନ୍ତୁ ଉପରେ ଟ୍ୟାପ୍ କରନ୍ତୁ, ତାପରେ ନୂତନ ଇମେଲ୍ ID ପ୍ରବେଶ କରନ୍ତୁ |</p>""]"
"ଯଦି ମୋ ବାଲାନ୍ସ ମୋ ଆକାଉଣ୍ଟକୁ ଫେରିପାରିବ ନାହିଁ କିମ୍ବା ଏହାକୁ ଅକ୍ଷମ କରିବା ପରେ ମୋର UPI ଲାଇଟ୍ ରେ ଦେଖାଯାଉ ନାହିଁ ମୁଁ କଣ କରିବି?","[""<p>କାରବାର ଏବଂ ସେବା ସମ୍ବନ୍ଧୀୟ ପ୍ରଶ୍ନ କିମ୍ବା ଅଭିଯୋଗ ପାଇଁ, ତୁମ ବ୍ୟାଙ୍କ / ଅନୁଷ୍ଠାନ ସହିତ ଯୋଗାଯୋଗ କରିବାକୁ ପଡିବ, ସେମାନେ ତୁମକୁ ଏହା ଉପରେ ସାହାଯ୍ୟ କରିବାକୁ ସମର୍ଥ ହେବେ | <br> ମୋତେ ତୁମର ବ୍ୟାଙ୍କ / ଅନୁଷ୍ଠାନର ନାମ ଜଣାଇବାକୁ ଦିଅ |</p>""]"
"ମୋର UPI ନମ୍ବର ପଞ୍ଜିକୃତ ହୋଇଛି କିନ୍ତୁ ଏହାର ପ୍ରଦର୍ଶନ କିମ୍ବା କାମ କରୁନାହିଁ | ମୁଁ କ’ଣ କରିବି?","[""<p>କାରବାର ଏବଂ ସେବା ସମ୍ବନ୍ଧୀୟ ପ୍ରଶ୍ନ କିମ୍ବା ଅଭିଯୋଗ ପାଇଁ, ତୁମ ବ୍ୟାଙ୍କ / ଅନୁଷ୍ଠାନ ସହିତ ଯୋଗାଯୋଗ କରିବାକୁ ପଡିବ, ସେମାନେ ତୁମକୁ ଏହା ଉପରେ ସାହାଯ୍ୟ କରିବାକୁ ସମର୍ଥ ହେବେ | <br> ମୋତେ ତୁମର ବ୍ୟାଙ୍କ / ଅନୁଷ୍ଠାନର ନାମ ଜଣାଇବାକୁ ଦିଅ |</p>""]"
"ଏକ କ୍ରେଡିଟ୍ କାର୍ଡ କିପରି କାମ କରେ?","[""<p>ଯେତେବେଳେ ବି ଆପଣ ଏକ କ୍ରେଡିଟ୍ କାର୍ଡ ବ୍ୟବହାର କରନ୍ତି, ଆପଣ ଏକ ବ୍ୟାଙ୍କରୁ ଟଙ୍କା ଋଣ ନେଉଛନ୍ତି, ଯିଏ କି ଆପଣଙ୍କର କ୍ରୟ ପାଇଁ ଦେୟ ଦେବା ପାଇଁ ଆପଣଙ୍କୁ ପୂର୍ବ-ଅନୁମୋଦିତ ସୀମା ଦେଇଛନ୍ତି | ବ୍ୟାଙ୍କ ପ୍ରଦାନ ପାଇଁ ଏହି ଟଙ୍କା ଫେରସ୍ତ କରିବାକୁ ପଡିବ | ଆପଣଙ୍କର କ୍ରେଡିଟ୍ ସ୍କୋର ଉପରେ ଆଧାର କରି କାର୍ଡ ପ୍ରଦାନ କରୁଥିବା ଅନୁଷ୍ଠାନ ଦ୍ୱାରା ସୀମା ସ୍ଥିର ହୋଇଛି। & nbsp;</p>""]"
"ଫୋନପେ ପାଇଁ ଗ୍ରାହକ ଯତ୍ନ କ’ଣ?","[""<p>ଫୋନେପ୍ ପାଇଁ ଗ୍ରାହକ ଯତ୍ନ <a href='tel080-68727374'> <a href='tel:080-68727374'>080-68727374</a> </a> / <a href='tel022-68727374'> <a href='tel:022-68727374'>022-68727374</a> </a> କିମ୍ବା <a href = 'https // www ପରିଦର୍ଶନ କରନ୍ତୁ | .phonepe.com / contact-us / '> ଏଠାରେ କ୍ଲିକ୍ କରନ୍ତୁ </a> |</p>""]"
"Paytm ପାଇଁ ଗ୍ରାହକ ଯତ୍ନ କ’ଣ?","[""<p>ବ୍ୟାଙ୍କ, ୱାଲେଟ୍ ଏବଂ ପେମେଣ୍ଟ ପାଇଁ ପେଟିଏମ୍ ପାଇଁ ଗ୍ରାହକଙ୍କ ଯତ୍ନ <a href='tel0120-4456-456'> <a href='tel:0120-4456-456'>0120-4456-456</a> </a> ପେଟିଏମ୍ ମଲ୍ ସପିଂ ଅର୍ଡର ପାଇଁ 0120-4606060 ଭ୍ରମଣ ଏବଂ ହୋଟେଲ ପାଇଁ <a href = 'tel0120- 4880-880 '> <a href='tel:0120-4880-880'>0120-4880-880</a> </a> କିମ୍ବା <a href='https//paytm.com/care/ticket'> ପରିଦର୍ଶନ କରନ୍ତୁ ଏଠାରେ କ୍ଲିକ୍ କରନ୍ତୁ </a></p>""]"
"ଭରତ ବିଲ୍ ପେମେଣ୍ଟ ସିଷ୍ଟମ୍ କ’ଣ?","[""<p>ଭରତ ବିଲ୍ ପେମେଣ୍ଟ ସିଷ୍ଟମ୍ (ବିବିପିଏସ୍) ହେଉଛି ଏକ ଆରବିଆଇ ଧାରଣା ପ୍ରଣାଳୀ ଯାହାକି NPCI ଦ୍ୱାରା ଚାଳିତ ଯାହା ଡିଜିଟାଲ୍ ବ୍ୟାଙ୍କ ଚ୍ୟାନେଲ ମାଧ୍ୟମରେ ତଥା ଏଜେଣ୍ଟମାନଙ୍କ ନେଟୱାର୍କ ମାଧ୍ୟମରେ ଗ୍ରାହକଙ୍କୁ ପାରସ୍ପରିକ କାର୍ଯ୍ୟକ୍ଷମ ତଥା ଉପଲବ୍ଧ ବିଲ୍ ପେମେଣ୍ଟ ସେବା ପ୍ରଦାନ କରିଥାଏ |</p>""]"
